# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
㐁	uikoju
㐂	ukukuk
㐃	kji
㐄	uki
㐅	oj
㐆	ookuuk
㐇	okk
㐈	ojk
㐉	ukk
㐊	uiuk
㐋	uiuk
㐌	oukik
㐍	ojjok
㐎	juojk
㐏	uikuk
㐐	koukjk
㐑	okjjjk
㐒	koikuk
㐓	uikukk
㐔	juikuk
㐕	ikuiuk
㐖	uiuikuk
㐗	uiuoukk
㐘	jouiojk
㐙	uikujouk
㐚	uikuikuk
㐛	oiuoikuk
㐜	ukjjojjok
㐝	ukuokikuk
㐞	uiiuuuojk
㐟	ouuuiuuuk
㐠	ojjokkuk
㐡	okuoikiiuoj
㐢	jjjojjokkuk
㐣	juouikuuuik
㐤	okuiikuuuuoj
㐥	ojuuijouikuuukok
㐦	uikooiuukuuuojouukk
㐧	kkjo
㐨	kjkkkjkk
㐩	uuoiuuoi
㐪	ukioj
㐫	juojki
㐬	jukjoik
㐭	juikikuu
㐮	juojuuiiuokoj
㐯	juikuikuouiojikuu
㐰	oiiku
㐱	ojooo
㐲	oiuoj
㐳	oiuok
㐴	oiokj
㐵	oiuuk
㐶	oikuk
㐷	oikku
㐸	oiokoj
㐹	oiouuk
㐺	oioioj
㐻	oiikoj
㐼	oiooui
㐽	oiokoj
㐾	oiuuok
㐿	oiouuk
㑀	oiuojj
㑁	oiikiki
㑂	oiuikoj
㑃	oikkjko
㑄	oikkjju
㑅	oiouiuu
㑆	oiikuok
㑇	oiokkuu
㑈	oiukkoj
㑉	oiokuokj
㑊	oijuokoj
㑋	oiikuiiu
㑌	oiuuuiuk
㑍	oiouuioj
㑎	oikkkiki
㑏	oijjkukj
㑐	oiiuukoj
㑑	oioikuuu
㑒	ojuikuoj
㑓	oikjuokj
㑔	oiuoikoj
㑕	oiikiokj
㑖	oioiikui
㑗	oioikuuuo
㑘	oiuuoikjo
㑙	oiuiiuuuk
㑚	oikuuokki
㑛	oiuikuioj
㑜	oiukuooui
㑝	oiuuiuuoi
㑞	oijoojuoi
㑟	oioiuiuoj
㑠	oiiikjuiu
㑡	oikuukjki
㑢	oiuiukjki
㑣	oiuiojuioj
㑤	oiiuuiikuiu
㑥	oiikuuokoo
㑦	oiookuuojj
㑧	oiouiojkku
㑨	oiikuouuoj
㑩	oiikiiuokj
㑪	oijuojoiuu
㑫	oiojukjkjj
㑬	oikouuiiku
㑭	oiikuiuuoi
㑮	oijkuikuuui
㑯	oiuoikuuuoj
㑰	oikkuokoooj
㑱	oikjkkouioj
㑲	oiuiikjouui
㑳	oiokkiookkio
㑴	oikuujkikikj
㑵	oijuojjouuoj
㑶	oiouukjouioj
㑷	oikjokjjukuk
㑸	oiuiikuuikuk
㑹	ojuikuiuikuu
㑺	oioijuuuiuok
㑻	oijjkjkjjoiki
㑼	oiikuiuokjiku
㑽	oiijojkikuuiu
㑾	oiokjjjuuuiku
㑿	oikkkikuuuioj
㒀	oijujoikuiiku
㒁	oiikuiujouuiu
㒂	oiiuuiuiuoikuu
㒃	oiuuuikuuuojkj
㒄	oiokjjuojjjjjj
㒅	oijuokjokjokoj
㒆	oiojuikukjjkjj
㒇	oiouuiiiiujjjj
㒈	oiuiuiiuuuouoj
㒉	oiijojkikuuioj
㒊	oikojkojiuiuiuiu
㒋	oiuiiuuuojooui
㒌	oijoojjoojjkok
㒍	oikjkjkjkkjkoj
㒎	oiuuojouuuiuuu
㒏	oijjkuuiiuojjj
㒐	oioujoujokikuu
㒑	oiujjjoijuuuiuk
㒒	oiiijoujouuuioj
㒓	oiuiujouuuijkkj
㒔	oiikiiuokikuiuj
㒕	oijukkooijuuuiu
㒖	oiiuuiikuuikiuj
㒗	oiuiiuujkukjuiu
㒘	oiuikuikkjjujou
㒙	oikkjjjjoikuuiki
㒚	oiojjouiukuujkjj
㒛	oikjjkjjoijuuuiu
㒜	oiuikooiuukuuuoj
